case_id,type,expected,predicted,threat_score,status,factor,raw_text
CASE_001,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.88,PASS,Elevated violent intent probability (0.974) and high radicalization index (0.705) drive the threat score upward.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_002,Satire/Sports,SAFE / LOW_RISK,SAFE,0.1,PASS,"Semantic classification as Sports/Political Satire indicates harmless content, keeping threat low despite moderate network activity.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_003,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.88,PASS,High violent intent probability (0.83) and radicalization index (0.85) signal mobilization for targeted hate.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_004,Counter-Speech,LOW_RISK,LOW_RISK,0.28,PASS,Content is counter-speech/reporting of violence with low violent intent probability and no veiled coordination indicators.,[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_005,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.88,PASS,Extremely high violent intent probability (0.988) and radicalization index (0.853) signal imminent mobilization for hate‑based violence.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_006,Counter-Speech,LOW_RISK,LOW_RISK,0.28,PASS,"Low violent intent probability and counter-speech categorization dominate, keeping the threat level low despite moderate network density.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_007,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.88,PASS,Elevated violent intent probability (0.885) and high radicalization index (0.774) signal a high likelihood of physical threat.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_008,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.65,PASS,Veiled community coordination paired with high radicalization index (0.593) and notable violent intent probability (0.455) escalates risk.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_009,Counter-Speech,LOW_RISK,LOW_RISK,0.22,PASS,Low violent intent probability and counter-speech content keep threat low despite some network clustering.,[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_010,Counter-Speech,LOW_RISK,LOW_RISK,0.25,PASS,"The content is categorized as counter-speech/reporting with low violent intent probability, indicating awareness rather than endorsement of violence.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
