case_id,type,expected,predicted,threat_score,status,factor,raw_text
CASE_001,Satire/Sports,SAFE / LOW_RISK,SAFE,0.068,PASS,"Content classified as harmless sports/political satire with low threat severity, indicating no escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_002,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.862,PASS,Elevated radicalization index combined with network clustering drives the score into the high-threat tier.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_003,Civic Update,SAFE,SAFE,0.041,PASS,"Content classified as Civic Announcement, indicating harmless civic communication, resulting in low threat score.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_004,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.635,PASS,Veiled coordination plus bot swarm penalty elevates score to moderate risk.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_005,Civic Update,SAFE,SAFE,0.088,PASS,"Content is classified as a Civic Announcement, indicating harmless civic communication, leading to a low threat assessment.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_006,Counter-Speech,LOW_RISK,LOW_RISK,0.205,PASS,"Content classified as Counter-Speech indicates benign intent, keeping threat low.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_007,Civic Update,SAFE,SAFE,0.013,PASS,"Content classified as Civic Announcement indicates harmless civic communication, resulting in low threat.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_008,Counter-Speech,LOW_RISK,LOW_RISK,0.242,PASS,"Content identified as Counter-Speech indicates benign intent, keeping risk low.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_009,Satire/Sports,SAFE / LOW_RISK,SAFE,0.075,PASS,"Content classified as harmless political satire, resulting in low threat severity.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_010,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.523,PASS,Veiled community coordination triggers moderate risk with bot swarm penalty.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_011,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.821,PASS,High radicalization index plus network clustering penalty escalates the threat.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_012,Satire/Sports,SAFE / LOW_RISK,SAFE,0.145,PASS,"Content classified as Sports/Political Satire, deemed harmless, resulting in no escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
